LocationType,Location,TimeFrame,DataFormat,Data
County,Gallatin,2008,Number,157
County,Gallatin,2009,Number,187
County,Gallatin,2010,Number,201
County,Gallatin,2011,Number,214
County,Gallatin,2012,Number,188
County,Gallatin,2013,Number,139
County,Gallatin,2014,Number,94
County,Gallatin,2015,Number,53
County,Gallatin,2016,Number,50
County,Gallatin,2017,Number,68
County,Gallatin,2018,Number,50
County,Gallatin,2019,Number,60
County,Gallatin,2020,Number,66
County,Gallatin,2021,Number,72
County,Gallatin,2022,Number,55
County,Garrard,2001,Number,101
County,Garrard,2002,Number,133
County,Garrard,2003,Number,113
County,Garrard,2004,Number,242
County,Garrard,2005,Number,271
County,Garrard,2006,Number,277
County,Garrard,2007,Number,249
County,Garrard,2008,Number,246
County,Garrard,2009,Number,175
County,Garrard,2010,Number,202
County,Garrard,2011,Number,209
County,Garrard,2012,Number,202
County,Garrard,2013,Number,156
County,Garrard,2014,Number,143
County,Garrard,2015,Number,146
County,Garrard,2016,Number,155
County,Garrard,2017,Number,143
County,Garrard,2018,Number,135
County,Garrard,2019,Number,227
County,Garrard,2020,Number,197
County,Garrard,2021,Number,171
County,Garrard,2022,Number,160
County,Grant,2001,Number,176
County,Grant,2002,Number,244
County,Grant,2003,Number,219
County,Grant,2004,Number,387
County,Grant,2005,Number,489
County,Grant,2006,Number,615
County,Grant,2007,Number,540
County,Grant,2008,Number,526
County,Grant,2009,Number,369
County,Grant,2010,Number,374
County,Grant,2011,Number,474
County,Grant,2012,Number,496
County,Grant,2013,Number,363
